L1_Size,L2_Size,L1_Assoc,L2_Assoc,Type,Time,Cycles,L1_MissRate,L2_MissRate,IPC
128kB,256kB,16,4,Simple,4.219113,4219113298256,0.01,0.749964,0.319899
128kB,256kB,16,4,Chunked,3.681156,3681155735395,0.01,0.607023,0.334897
128kB,256kB,16,8,Simple,4.237147,4237146971631,0.01,0.787524,0.318561
128kB,256kB,16,8,Chunked,3.701671,3701671278870,0.01,0.655429,0.333312
128kB,256kB,16,16,Simple,4.268734,4268734418826,0.01,0.84781,0.31593
128kB,256kB,16,16,Chunked,3.727935,3727935439745,0.01,0.717534,0.331067
128kB,512kB,4,4,Simple,4.032435,4032434997246,0.01,0.607377,0.334716
128kB,512kB,4,4,Chunked,3.520374,3520373716031,0.01,0.493245,0.350542
128kB,512kB,4,8,Simple,4.052616,4052616491233,0.01,0.641944,0.333344
128kB,512kB,4,8,Chunked,3.536849,3536848813161,0.01,0.516182,0.349219
128kB,512kB,4,16,Simple,4.082652,4082651633931,0.01,0.669582,0.330429
128kB,512kB,4,16,Chunked,3.563547,3563546639842,0.01,0.555146,0.346442
128kB,512kB,8,4,Simple,4.043463,4043463295322,0.01,0.593572,0.33397
128kB,512kB,8,4,Chunked,3.525912,3525911973163,0.01,0.485904,0.349592
128kB,512kB,8,8,Simple,4.05911,4059110426900,0.01,0.644056,0.332638
128kB,512kB,8,8,Chunked,3.540844,3540843565264,0.01,0.497185,0.348399
128kB,512kB,8,16,Simple,4.092046,4092045794290,0.01,0.684004,0.3302
128kB,512kB,8,16,Chunked,3.572882,3572881650057,0.01,0.555079,0.345198
128kB,512kB,16,4,Simple,4.056828,4056828083010,0.01,0.604034,0.332902
128kB,512kB,16,4,Chunked,3.541961,3541960849299,0.01,0.477858,0.348377
128kB,512kB,16,8,Simple,4.077092,4077092475467,0.01,0.623567,0.331493
128kB,512kB,16,8,Chunked,3.560579,3560578730969,0.01,0.502666,0.347451
128kB,512kB,16,16,Simple,4.105325,4105325281272,0.01,0.688748,0.328732
128kB,512kB,16,16,Chunked,3.58716,3587159928779,0.01,0.566906,0.343988
128kB,1024kB,4,4,Simple,3.82928,3829280172012,0.01,0.423753,0.351978
128kB,1024kB,4,4,Chunked,3.344147,3344147098474,0.01,0.319844,0.36851
128kB,1024kB,4,8,Simple,3.845066,3845065796678,0.01,0.454282,0.350783
128kB,1024kB,4,8,Chunked,3.357793,3357792561141,0.01,0.32376,0.367923
128kB,1024kB,4,16,Simple,3.879489,3879488815807,0.01,0.491317,0.347924
128kB,1024kB,4,16,Chunked,3.385031,3385030780707,0.01,0.35118,0.364622
128kB,1024kB,8,4,Simple,3.84037,3840369817640,0.01,0.441627,0.351895
128kB,1024kB,8,4,Chunked,3.350973,3350973263322,0.01,0.312146,0.368126
128kB,1024kB,8,8,Simple,3.857812,3857812113273,0.01,0.450789,0.350294
128kB,1024kB,8,8,Chunked,3.363977,3363976889696,0.01,0.326077,0.366526
128kB,1024kB,8,16,Simple,3.887341,3887341098021,0.01,0.483244,0.347407
128kB,1024kB,8,16,Chunked,3.390191,3390191125636,0.01,0.35281,0.363749
128kB,1024kB,16,4,Simple,3.855026,3855025533096,0.01,0.425501,0.349951
128kB,1024kB,16,4,Chunked,3.365019,3365018584405,0.01,0.313628,0.366895
128kB,1024kB,16,8,Simple,3.867312,3867311920476,0.01,0.454301,0.348648
128kB,1024kB,16,8,Chunked,3.3754,3375400181882,0.01,0.324706,0.365353
128kB,1024kB,16,16,Simple,3.901516,3901515718145,0.01,0.494051,0.346035
128kB,1024kB,16,16,Chunked,3.405878,3405878335120,0.01,0.352984,0.362441
