L1_Size,L2_Size,L1_Assoc,L2_Assoc,simTicks,simSeconds,hostSeconds,L1_MissRate,L2_MissRate,L1_HitRate,L2_HitRate,TotalCacheSize
64kB,256kB,4,4,1050631411000,1.050631,340.45,0.499967,0.025374,0.500033,0.974626,320
64kB,256kB,4,8,1074901152000,1.074901,419.4,0.499967,0.041759,0.500033,0.958241,320
64kB,256kB,4,16,1123982849000,1.123983,354.16,0.499967,0.074619,0.500033,0.925381,320
64kB,256kB,8,4,1050624996000,1.050625,437.85,0.49996,0.025375,0.50004,0.974625,320
64kB,256kB,8,8,1074870007000,1.07487,432.04,0.49996,0.04176,0.50004,0.95824,320
64kB,256kB,8,16,1123982825000,1.123983,364.38,0.49996,0.07462,0.50004,0.92538,320
64kB,512kB,2,4,1025938904000,1.025939,447.2,0.505426,0.001427,0.49457399999999996,0.998573,576
64kB,512kB,2,8,1025930732000,1.025931,344.07,0.505426,0.001427,0.49457399999999996,0.998573,576
64kB,512kB,2,16,1025930732000,1.025931,421.29,0.505426,0.001427,0.49457399999999996,0.998573,576
64kB,512kB,4,4,1017619188000,1.017619,428.51,0.499967,0.001443,0.500033,0.998557,576
64kB,512kB,4,8,1017607177000,1.017607,382.68,0.499967,0.001443,0.500033,0.998557,576
64kB,512kB,4,16,1017607126000,1.017607,350.98,0.499967,0.001443,0.500033,0.998557,576
64kB,512kB,8,4,1017619188000,1.017619,373.31,0.49996,0.001443,0.50004,0.998557,576
64kB,512kB,8,8,1017607153000,1.017607,294.41,0.49996,0.001443,0.50004,0.998557,576
64kB,512kB,8,16,1017607102000,1.017607,398.42,0.49996,0.001443,0.50004,0.998557,576
